"Created by Quafzi_CustomerFreeShipping","Diese Option wird vom Modul Quafzi_CustomerFreeShipping bereitgestellt"
"Customer Free Shipping","Kostenfreier Versand für ausgesuchte Kunden"
"Freeshipping allowed","Kostenfreien Versand erlauben"
